FHLBank,FIPSStateCode,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount
472522,47275,64692,1,360,1,43,0.035,4,119000
472522,51244,83520,1,360,2,42,0.0363,5,180000
472522,49426,48000,1,360,1,31,0.0325,5,175500
472522,50238,65628,1,360,2,43,0.035,5,207313
472522,55702,94992,2,360,2,51,0.0325,5,150000
472522,64129,191172,2,360,2,61,0.035,5,162400
472522,47275,99540,2,360,2,35,0.0325,4,287500
472522,50238,87516,1,360,1,61,0.035,4,165250
472522,51244,67992,1,360,1,37,0.035,4,133100
472522,75847,151500,2,360,2,52,0.0325,4,269100
472522,64500,199800,2,360,2,41,0.0325,3,407987
472522,47275,66228,1,360,2,32,0.0325,5,140864
472522,52431,78408,1,360,2,71,0.0325,5,272701
472522,51492,61860,2,360,2,61,0.0363,5,200000
472522,71346,114168,1,360,1,50,0.0325,5,175000
472522,55653,204348,1,360,2,57,0.0388,5,299000
472522,55702,44604,1,360,1,27,0.0375,4,200550
472522,72222,241764,2,360,2,68,0.0375,5,334700
472522,63909,217368,1,360,2,59,0.0375,5,296156
472522,49426,83592,1,360,2,47,0.0375,5,239900
472522,66262,265584,2,360,2,56,0.0375,4,326884
472522,51244,115800,2,360,2,55,0.0375,4,228000
472522,59588,68052,2,180,2,30,0.0263,4,125500
472522,55702,111840,1,180,1,56,0.0263,5,265000
472522,51492,152400,2,180,2,52,0.0263,5,245000
472522,71346,171312,1,180,1,51,0.0263,5,265000
472522,55653,87576,1,180,2,52,0.025,5,145000
472522,53017,108444,2,180,2,42,0.0263,5,126250
472522,66262,162504,2,180,2,49,0.0263,4,172000
472522,66262,126036,2,180,2,74,0.0263,5,417000
472522,66262,181368,2,180,2,56,0.0263,4,392500
472522,51492,104076,2,180,2,61,0.0263,5,348000
472522,55653,230328,2,180,2,54,0.025,5,386631
472522,75847,91380,2,180,2,42,0.0238,3,292000
472522,47830,89400,2,180,2,68,0.0263,5,164000
472522,51244,189684,1,180,2,51,0.0263,5,400000
472522,66262,158676,2,180,2,53,0.0263,5,410000
472522,52431,50544,2,180,2,25,0.0263,4,88239
472522,51492,70356,1,180,1,31,0.0263,5,185000
472522,66262,190500,2,180,2,50,0.0263,2,394700
472522,51244,155256,2,180,2,63,0.0263,4,310000
472522,55653,131844,2,180,2,56,0.0263,4,122600
472522,70628,236592,2,180,2,42,0.0263,5,390000
472522,70303,215484,2,180,2,56,0.025,3,360000
472522,75847,212628,2,180,2,54,0.025,5,225000
472522,47830,103524,2,180,2,45,0.025,5,220000
472522,47238,124536,2,180,2,47,0.0263,4,220000
472522,45215,140604,2,180,2,58,0.025,5,200000
472522,47830,117024,2,180,2,53,0.0263,5,243800
472522,49426,108744,2,180,2,64,0.0263,5,167000
472522,51244,147216,2,180,2,50,0.0263,3,123000
