Index,FHLBankPopulation,StateAvgIncome,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount,Amount_Prediction
4994,472522,44765,124944,2,180,2,44,0.0263,3,167300,82309.2938
4995,298800,51075,116333,2,360,2,58,0.0338,4,231000,201372.8753
4996,298800,51075,61401,1,360,1,22,0.035,5,41600,157246.9077
4997,2705000,55638,71616,1,360,1,28,0.0363,4,225192,177943.142
4998,298800,51075,43200,2,360,2,29,0.0338,5,150000,209985.513
4999,864771,50532,98197,2,360,2,99,0.0375,4,400000,177871.3719
5000,126808,53906,50840,2,360,2,39,0.0325,5,94400,226914.1205
5001,298800,51075,107848,1,360,2,39,0.0363,3,290400,173941.0573
5002,303625,55702,125363,2,240,2,35,0.035,3,175500,177820.5478
5003,298800,51075,49896,2,360,2,53,0.0363,4,102400,185557.8979
5004,864771,51084,72461,1,360,2,99,0.0363,5,96000,176294.8719
5005,864771,45215,29567,1,180,1,73,0.0275,5,92000,23822.57445
5006,864771,51084,100296,1,360,2,30,0.0325,5,216000,210780.9524
5007,298800,51075,78264,2,300,2,62,0.0338,5,98250,182150.9894
5008,126808,54996,124800,2,360,2,72,0.0388,4,343224,221397.8959
5009,8538000,60850,78204,1,360,1,24,0.0375,4,76190,231570.2418
5010,864771,51084,147096,2,180,2,57,0.0275,5,244000,157234.6513
5011,126808,54996,117144,2,240,2,48,0.0325,5,242089,198838.0321
5012,298800,51075,55296,2,300,2,31,0.0388,5,151200,185809.2728
5013,298800,45215,131052,2,235,2,26,0.035,5,255369,143368.6608
5014,303625,66262,117000,1,360,2,39,0.0363,5,621577,308439.3094
5015,126808,53906,109992,1,240,2,32,0.0325,5,100800,180529.2303
5016,126808,54996,30660,1,360,1,26,0.04,2,38046,123253.6174
5017,2705000,59588,24960,1,360,1,57,0.045,3,53000,161636.4845
5018,126808,54996,114480,2,360,2,34,0.0325,5,233000,251857.5162
5019,215472,64129,97608,1,360,2,32,0.04,4,460000,274256.6802
5020,298800,51075,155078,1,360,2,52,0.035,5,254600,213421.2382
5021,864771,50532,43954,1,360,2,26,0.0363,5,164800,192888.9806
5022,8538000,72222,113492,1,360,2,57,0.0363,3,268000,331631.9898
5023,126808,54996,84367,2,360,2,32,0.035,5,185000,243981.1953
5024,298800,51075,121044,2,360,2,37,0.035,5,196200,225875.8491
5025,864771,64500,267828,2,180,2,53,0.0275,5,526000,277381.6335
5026,864816,64500,120229,2,360,2,63,0.035,5,367000,306131.3023
5027,2705000,55638,117024,2,240,2,40,0.0325,5,220800,213390.7125
5028,298800,51075,87144,2,360,2,33,0.0363,5,108400,218338.0406
5029,2705000,50532,43920,1,360,1,28,0.035,3,118750,121925.165
5030,303625,75847,183989,2,360,2,51,0.035,5,517250,399809.1419
5031,2705000,55638,34320,2,360,2,51,0.0388,5,145000,234270.937
5032,303625,55702,85547,2,360,2,38,0.04,5,200000,244965.1246
5033,8538000,72222,136000,2,360,2,38,0.0363,4,573000,375686.1972
5034,8538000,60850,651944,2,360,2,66,0.0375,4,499900,418347.4251
5035,298800,45215,141162,1,360,2,44,0.035,4,293600,158284.5063
5036,126808,53906,111116,1,360,2,33,0.04,5,417000,225536.3019
5037,215472,54736,192775,2,360,2,48,0.0325,3,416974,232695.2861
5038,298800,51075,75422,2,360,2,30,0.0363,5,156800,216537.4089
5039,864771,51084,79313,2,360,2,45,0.0388,4,127700,196454.4395
5040,864771,51084,111816,1,180,2,48,0.0288,5,287200,135899.518
5041,472522,75847,154236,1,360,2,60,0.0363,3,580000,341602.4508
5042,864771,50532,24012,2,360,2,30,0.04,5,94000,200094.5761
5043,298800,51075,201996,2,360,2,37,0.0388,5,417000,244381.612
5044,126808,63909,179328,2,360,2,39,0.0438,5,268900,319947.5699
5045,864771,51084,56028,1,360,1,26,0.04,4,126000,137861.068
